pressure,temperature,dewpoint,u_wind,v_wind,altitude
720.0,17.0,1.5,-9.563,-2.924,0.0
719.5,16.82,1.2,-11.535,-3.308,5.5
719.1,16.64,0.9,-13.426,-3.598,11.0
718.6,16.46,0.6,-15.358,-4.115,16.6
718.1,16.28,0.3,-17.271,-4.306,22.1
717.7,16.1,0.0,-19.212,-4.79,27.6
717.2,15.92,-0.3,-21.055,-5.25,33.1
716.7,15.74,-0.6,-23.093,-5.331,38.6
716.3,15.65,-0.8,-25.041,-5.781,44.2
715.8,15.6,-0.9,-26.893,-6.209,49.7
715.3,15.54,-0.9,-28.841,-6.659,55.2
714.9,15.49,-1.0,-29.718,-6.861,60.7
714.4,15.44,-1.0,-30.176,-7.524,66.2
713.9,15.38,-1.1,-30.758,-7.669,71.8
713.5,15.33,-1.1,-31.438,-7.838,77.3
713.0,15.27,-1.2,-31.876,-8.541,82.8
712.5,15.22,-1.2,-32.455,-8.696,88.3
712.1,15.16,-1.3,-33.035,-8.852,93.9
711.6,15.11,-1.3,-33.548,-9.62,99.4
711.3,15.06,-1.3,-34.125,-9.785,104.9
711.0,15.0,-1.4,-34.702,-9.951,109.0
710.7,14.95,-1.4,-35.192,-10.759,112.0
710.4,14.89,-1.5,-35.766,-10.935,115.0
710.1,14.85,-1.5,-36.34,-11.11,118.0
709.8,14.83,-1.6,-36.806,-11.959,121.0
709.6,14.81,-1.6,-37.377,-12.144,124.0
709.3,14.79,-1.6,-37.947,-12.33,127.0
709.0,14.77,-1.6,-38.613,-12.546,130.1
708.8,14.75,-1.6,-38.955,-13.413,133.1
708.5,14.73,-1.7,-39.523,-13.609,136.1
708.3,14.71,-1.7,-40.185,-13.837,139.1
708.0,14.68,-1.7,-40.468,-13.934,142.1
707.8,14.66,-1.7,-40.563,-13.967,145.1
707.5,14.64,-1.7,-40.501,-14.741,148.1
707.3,14.62,-1.8,-40.689,-14.809,151.2
707.0,14.6,-1.8,-40.877,-14.878,154.2
706.8,14.58,-1.8,-40.971,-14.912,157.2
706.5,14.56,-1.8,-41.159,-14.98,160.2
706.3,14.53,-1.8,-41.346,-15.049,163.2
706.0,14.51,-1.9,-41.534,-15.117,166.2
705.8,14.47,-1.9,-41.628,-15.151,169.2
705.5,14.44,-1.9,-41.816,-15.22,172.2
705.3,14.41,-2.0,-41.731,-16.019,175.3
705.0,14.37,-2.0,-41.918,-16.091,178.3
704.7,14.34,-2.0,-42.011,-16.127,181.3
704.4,14.3,-2.0,-42.198,-16.198,184.3
704.0,14.27,-2.0,-42.385,-16.27,188.3
703.7,14.23,-2.0,-42.571,-16.342,192.7
703.4,14.2,-2.0,-42.665,-16.377,197.1
703.1,14.17,-2.1,-42.851,-16.449,201.4
702.7,14.13,-2.1,-43.038,-16.521,205.8
702.4,14.1,-2.1,-42.836,-17.307,210.2
702.0,14.06,-2.1,-43.225,-16.592,214.5
701.6,14.03,-2.1,-43.225,-16.592,218.9
701.3,13.99,-2.1,-43.318,-16.628,223.3
700.9,13.96,-2.1,-43.411,-16.664,227.6
700.5,13.93,-2.1,-43.505,-16.7,232.0
700.2,13.9,-2.1,-43.505,-16.7,236.3
699.8,13.87,-2.1,-43.598,-16.736,240.7
699.5,13.84,-2.1,-43.692,-16.772,245.1
699.1,13.81,-2.2,-43.785,-16.807,249.4
698.7,13.78,-2.2,-43.785,-16.807,253.8
698.4,13.75,-2.2,-43.878,-16.843,258.2
698.0,13.72,-2.2,-43.972,-16.879,262.5
697.6,13.69,-2.3,-44.065,-16.915,266.9
697.3,13.66,-2.3,-44.065,-16.915,271.3
696.9,13.63,-2.3,-44.158,-16.951,275.6
696.6,13.6,-2.3,-44.252,-16.987,280.0
696.2,13.57,-2.4,-44.345,-17.022,284.3
695.8,13.54,-2.4,-44.345,-17.022,288.7
695.5,13.51,-2.4,-44.438,-17.058,293.1
695.1,13.48,-2.5,-44.438,-17.058,297.4
694.8,13.45,-2.5,-44.252,-16.987,301.8
694.4,13.42,-2.5,-44.065,-16.915,306.2
694.1,13.38,-2.6,-43.878,-16.843,310.5
693.7,13.35,-2.6,-43.692,-16.772,314.9
693.4,13.32,-2.6,-43.505,-16.7,318.9
693.0,13.29,-2.7,-43.318,-16.628,322.8
692.7,13.26,-2.7,-43.131,-16.557,326.8
692.4,13.23,-2.7,-42.945,-16.485,330.7
692.1,13.2,-2.8,-42.758,-16.413,334.6
691.7,13.17,-2.8,-42.571,-16.342,338.6
691.4,13.14,-2.8,-42.385,-16.27,342.5
691.1,13.11,-2.9,-42.198,-16.198,346.4
690.8,13.08,-2.9,-42.011,-16.127,350.3
690.4,13.05,-2.9,-41.824,-16.055,354.3
690.1,13.01,-3.0,-41.638,-15.983,358.2
689.8,12.98,-3.0,-41.451,-15.912,362.1
689.5,12.94,-3.0,-41.264,-15.84,366.0
689.1,12.9,-3.1,-41.078,-15.768,370.0
688.8,12.85,-3.1,-40.797,-15.661,373.9
688.5,12.81,-3.2,-40.611,-15.589,377.8
688.2,12.76,-3.2,-40.517,-15.553,381.7
